Date,Device,Vehicle,Spend
2021-06-14,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-15,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-16,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-17,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-18,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-19,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-20,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-21,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-22,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-23,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-24,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-25,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-26,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-27,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-03-01,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-02,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-03,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-04,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-05,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-06,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-07,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-08,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-09,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-10,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-11,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-12,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-13,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-14,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-15,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-16,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-17,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-18,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-19,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-20,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-21,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-22,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-23,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-24,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-25,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-26,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-27,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-28,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89
2021-03-29,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-03-30,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-03-31,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-01,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-02,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-03,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-04,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-05,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-06,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-07,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-08,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-09,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-10,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-11,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-12,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-13,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-14,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-15,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-16,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-17,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-18,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-19,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-20,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-21,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-22,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-23,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-24,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-04-25,LG,LG Home Launcher True Crime & Doc Devil in Disguise,218.25
2021-03-01,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-02,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-03,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-04,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-05,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-06,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-07,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-08,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-09,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-10,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-11,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-12,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-13,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-14,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-15,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-16,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-17,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-18,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-19,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-20,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-21,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-22,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-23,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-24,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-25,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-26,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-27,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-28,Roku,Roku Native Display Devil in Disguise ACR,1041.67
2021-03-29,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-03-30,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-03-31,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-01,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-02,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-03,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-04,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-05,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-06,Roku,Roku Native Display Devil in Disguise ACR,1636.9
