Date,Placement,Today Stories (App Store),Hero Banner Takeover​ (App Store),Hero Banner Feature (App Store),Brick Row Takeover​ (App Store),App Recommendation Featuring​ (App Store),What To Watch This Week (App Store) ,App Upsell​ (TV App),App What to Watch Brick Row Takeover​ (TV App),App Editorial featuring in Collections​ (TV App),Apple TV Social Post (Facebook),Apple TV Social Post (Instagram),Apple TV Social Post (Twitter),Apple TV Email / Newsletter,Apple.com Feature,Estimated Weekly Value
,Promotional Days,1,,7,,,7,,,7,,,,,,--
10-May,Promotional Value,"26,400 ",0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"335,908 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"26,400 ",0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"335,908 "
,Promotional Days,,,7,,,7,,,7,,,,,,--
17-May,Promotional Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"309,508 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"309,508 "
,Promotional Days,,,7,,,7,,,5,,,,,,--
24-May,Promotional Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"84,000 ",0 ,0 ,0 ,0 ,0 ,"275,908 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"84,000 ",0 ,0 ,0 ,0 ,0 ,"275,908 "
,Promotional Days,,,1,,,1,,,,,,,,,--
31-May,Promotional Value,0 ,0 ,"13,708 ",0 ,0 ,"13,708 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"27,415 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"13,708 ",0 ,0 ,"13,708 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"27,415 "
,Promotional Days,,,6,,,6,,,,,,,,,--
1-Jun,Promotional Value,0 ,0 ,"82,246 ",0 ,0 ,"82,246 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"164,492 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"82,246 ",0 ,0 ,"82,246 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"164,492 "
,Promotional Days,,,5,,,7,,,,,,,1,,--
7-Jun,Promotional Value,0 ,0 ,"68,538 ",0 ,0 ,"95,954 ",0 ,0 ,0 ,0 ,0 ,0 ,"1,206,250 ",0 ,"1,370,742 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"68,538 ",0 ,0 ,"95,954 ",0 ,0 ,0 ,0 ,0 ,0 ,"1,206,250 ",0 ,"1,370,742 "
,Promotional Days,,,4,,,7,,,7,,,,,,--
14-Jun,Promotional Value,0 ,0 ,"54,831 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"268,385 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"54,831 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"268,385 "
,Promotional Days,1,,4,,,7,,,,,,,,,--
21-Jun,Promotional Value,"26,400 ",0 ,"54,831 ",0 ,0 ,"95,954 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"177,185 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"26,400 ",0 ,"54,831 ",0 ,0 ,"95,954 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"177,185 "
,Promotional Days,,,3,,,3,,,,,,,,,--
28-Jun,Promotional Value,0 ,0 ,"41,123 ",0 ,0 ,"41,123 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"82,246 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"41,123 ",0 ,0 ,"41,123 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"82,246 "
,Promotional Days,1,,4,3,,4,,,4,,,,1,,--
1-Jul,Promotional Value,"26,400 ",0 ,"54,831 ","29,243 ",0 ,"54,831 ",0 ,0 ,"67,200 ",0 ,0 ,0 ,"1,206,250 ",0 ,"1,438,755 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"26,400 ",0 ,"54,831 ","29,243 ",0 ,"54,831 ",0 ,0 ,"67,200 ",0 ,0 ,0 ,"1,206,250 ",0 ,"1,438,755 "
,Promotional Days,,,7,7,,7,,,7,,,,1,,--
5-Jul,Promotional Value,0 ,0 ,"95,954 ","68,234 ",0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,"1,206,250 ",0 ,"1,583,992 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"95,954 ","68,234 ",0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,"1,206,250 ",0 ,"1,583,992 "
,Promotional Days,,,7,7,,7,,,7,1,1,1,,,--
12-Jul,Promotional Value,0 ,0 ,"95,954 ","68,234 ",0 ,"95,954 ",0 ,0 ,"117,600 ","102,075 ","6,650 ","3,850 ",0 ,0 ,"490,316 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"95,954 ","68,234 ",0 ,"95,954 ",0 ,0 ,"117,600 ","102,075 ","6,650 ","3,850 ",0 ,0 ,"490,316 "
,Promotional Days,2,,7,,,7,,,7,,,,1,,--
19-Jul,Promotional Value,"52,800 ",0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,"1,206,250 ",0 ,"1,568,558 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"52,800 ",0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,"1,206,250 ",0 ,"1,568,558 "
,Promotional Days,,,6,,,6,,,6,,,,1,,--
26-Jul,Promotional Value,0 ,0 ,"82,246 ",0 ,0 ,"82,246 ",0 ,0 ,"100,800 ",0 ,0 ,0 ,"1,206,250 ",0 ,"1,471,542 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"82,246 ",0 ,0 ,"82,246 ",0 ,0 ,"100,800 ",0 ,0 ,0 ,"1,206,250 ",0 ,"1,471,542 "
,Promotional Days,,,1,,,1,,,1,,,,,,--
1-Aug,Promotional Value,0 ,0 ,"13,708 ",0 ,0 ,"13,708 ",0 ,0 ,"16,800 ",0 ,0 ,0 ,0 ,0 ,"44,215 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"13,708 ",0 ,0 ,"13,708 ",0 ,0 ,"16,800 ",0 ,0 ,0 ,0 ,0 ,"44,215 "
,Promotional Days,,,7,,,7,,,7,,,,,,--
2-Aug,Promotional Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"309,508 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"309,508 "
,Promotional Days,,,7,,,7,,,7,,,,,,--
9-Aug,Promotional Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"309,508 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"309,508 "
,Promotional Days,1,,4,,,7,,,7,,,,,,--
16-Aug,Promotional Value,"26,400 ",0 ,"54,831 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"294,785 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"26,400 ",0 ,"54,831 ",0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"294,785 "
,Promotional Days,,,,,,7,,,7,,,,,,--
23-Aug,Promotional Value,0 ,0 ,0 ,0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"213,554 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,"95,954 ",0 ,0 ,"117,600 ",0 ,0 ,0 ,0 ,0 ,"213,554 "
,Promotional Days,1,,,,,2,,,2,,,,,,--
30-Aug,Promotional Value,"26,400 ",0 ,0 ,0 ,0 ,"27,415 ",0 ,0 ,"33,600 ",0 ,0 ,0 ,0 ,0 ,"87,415 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"26,400 ",0 ,0 ,0 ,0 ,"27,415 ",0 ,0 ,"33,600 ",0 ,0 ,0 ,0 ,0 ,"87,415 "
,Promotional Days,,,,,,5,,,5,,,,,,--
1-Sep,Promotional Value,0 ,0 ,0 ,0 ,0 ,"68,538 ",0 ,0 ,"84,000 ",0 ,0 ,0 ,0 ,0 ,"152,538 "
