Date,Placement,App Hero Card (Video),Trending TV (Above The Fold),‘Play Movies’ Homepage Placement,‘Featured by Play’ Collection,Play ‘New Arrivals’,Android TV - Immersive Video Row (Google Play Hero Placement),M&E Push Notification ,Google Play Store Subscription Center,Android TV - Home Screen Browser,Android TV Featured by Play collection (Slot #1),Featured Collection on ATV Play Store app (Slot #1) ,Video Row on ATV Play Store App ,Google Social Post (Facebook),Google Social Post (Instagram),Google Social Post (Twitter),Google Email / Newsletter,.com Feature,Estimated Weekly Value
,Weekly Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,"304,615 ",0 ,"20,400 ",0 ,0 ,0 ,0 ,0 ,"24,500 ",0 ,0 ,"1,299,915 "
,Promotional Days,7,7,,,,,,,,,,,,,,,,--
12-Apr,Promotional Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"950,400 "
,Contractual Days,,,,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"950,400 "
,Promotional Days,7,7,,,,,,,,,,,1,1,1,,,--
19-Apr,Promotional Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"10,360 ",31 ,"24,500 ",0 ,0 ,"985,291 "
,Contractual Days,,,,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"10,360 ",31 ,"24,500 ",0 ,0 ,"985,291 "
,Promotional Days,5,5,,,,,,,,,,,,,,,,--
26-Apr,Promotional Value,"339,429 ","339,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"678,857 "
,Contractual Days,,,,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"339,429 ","339,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"678,857 "
,Promotional Days,2,2,,,,,,,,,,,,,,,,--
1-May,Promotional Value,"135,771 ","135,771 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"271,543 "
,Contractual Days,,,,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"135,771 ","135,771 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"271,543 "
,Promotional Days,7,7,,,,,,,,,,,,,,,,--
3-May,Promotional Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"950,400 "
,Contractual Days,,,,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"950,400 "
,Promotional Days,7,7,,,,,,,,,,,,,,,,--
10-May,Promotional Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"950,400 "
,Contractual Days,,,,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"950,400 "
,Promotional Days,7,7,,,,,,,,,,,,,,,,--
17-May,Promotional Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"950,400 "
,Contractual Days,,,,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"950,400 "
,Promotional Days,7,7,,,,,,,,,,,,,,,,--
24-May,Promotional Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"950,400 "
,Contractual Days,,,,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"950,400 "
,Promotional Days,1,1,,,,,,,,,,,,,,,,--
