Date,Device,Vehicle,Spend,WeekOfYear
2021-04-11,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,14
2021-04-12,Playstation,Playstation Showcase (Movies & TV Explore),16.56,15
2021-04-12,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,15
2021-04-12,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,15
2021-04-12,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,15
2021-04-12,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,15
2021-04-12,Playstation,Playstation Showcase (Apps_ Explore),36.77,15
2021-04-12,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,15
2021-04-12,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,15
2021-04-12,Playstation,Playstation Grid Hero WWE Network,289.14,15
2021-04-13,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,15
2021-04-13,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,15
2021-04-13,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,15
2021-04-13,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,15
2021-04-13,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,15
2021-04-13,Playstation,Playstation Grid Hero WWE Network,289.14,15
2021-04-13,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,15
2021-04-13,Playstation,Playstation Showcase (Movies & TV Explore),16.56,15
2021-04-13,Playstation,Playstation Showcase (Apps_ Explore),36.77,15
2021-04-14,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,15
2021-04-14,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,15
2021-04-14,Playstation,Playstation Showcase (Apps_ Explore),36.77,15
2021-04-14,Playstation,Playstation Showcase (Movies & TV Explore),16.56,15
2021-04-14,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,15
2021-04-14,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,15
2021-04-14,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,15
2021-04-14,Playstation,Playstation Grid Hero WWE Network,289.14,15
2021-04-14,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,15
2021-04-15,Playstation,Playstation Grid Hero WWE Network,289.14,15
2021-04-15,Playstation,Playstation Showcase (Movies & TV Explore),16.56,15
2021-04-15,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,15
2021-04-15,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,15
2021-04-15,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,15
2021-04-15,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,15
2021-04-15,Playstation,Playstation Showcase (Apps_ Explore),36.77,15
2021-04-15,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,15
2021-04-15,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,15
2021-04-16,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,15
2021-04-16,Playstation,Playstation Showcase (Movies & TV Explore),16.56,15
2021-04-16,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,15
2021-04-16,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,15
2021-04-16,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,15
2021-04-16,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,15
2021-04-16,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,15
2021-04-16,Playstation,Playstation Showcase (Apps_ Explore),36.77,15
2021-04-16,Playstation,Playstation Grid Hero WWE Network,289.14,15
2021-04-17,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,15
2021-04-17,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,15
2021-04-17,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,15
2021-04-17,Playstation,Playstation Grid Hero WWE Network,289.14,15
2021-04-17,Playstation,Playstation Showcase (Movies & TV Explore),16.56,15
2021-04-17,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,15
2021-04-17,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,15
2021-04-17,Playstation,Playstation Showcase (Apps_ Explore),36.77,15
2021-04-17,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,15
2021-04-18,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,15
2021-04-18,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,15
2021-04-18,Playstation,Playstation Showcase (Movies & TV Explore),16.56,15
2021-04-18,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,15
2021-04-18,Playstation,Playstation Showcase (Apps_ Explore),36.77,15
2021-04-18,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,15
2021-04-18,Playstation,Playstation Grid Hero WWE Network,289.14,15
2021-04-18,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,15
2021-04-18,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,15
2021-04-19,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,16
2021-04-19,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,16
2021-04-19,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,16
2021-04-19,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,16
2021-04-19,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,16
2021-04-19,Playstation,Playstation Showcase (Movies & TV Explore),16.56,16
2021-04-19,Playstation,Playstation Grid Hero WWE Network,289.14,16
2021-04-19,Playstation,Playstation Showcase (Apps_ Explore),36.77,16
2021-04-19,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,16
2021-04-20,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,16
2021-04-20,Playstation,Playstation Showcase (Movies & TV Explore),16.56,16
2021-04-20,Playstation,Playstation Showcase (Apps_ Explore),36.77,16
2021-04-20,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,16
2021-04-20,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,16
2021-04-20,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,16
2021-04-20,Playstation,Playstation Grid Hero WWE Network,289.14,16
2021-04-20,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,16
2021-04-20,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,16
2021-04-21,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,16
2021-04-21,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,16
2021-04-21,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,16
2021-04-21,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,16
2021-04-21,Playstation,Playstation Grid Hero WWE Network,289.14,16
2021-04-21,Playstation,Playstation Showcase (Movies & TV Explore),16.56,16
2021-04-21,Playstation,Playstation Showcase (Apps_ Explore),36.77,16
2021-04-21,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,16
2021-04-21,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,16
2021-04-22,Playstation,Playstation Showcase (Apps_ Explore),36.77,16
2021-04-22,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,16
2021-04-22,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,16
2021-04-22,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,16
2021-04-22,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,16
2021-04-22,Playstation,Playstation Showcase (Movies & TV Explore),16.56,16
2021-04-22,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,16
2021-04-22,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,16
2021-04-22,Playstation,Playstation Grid Hero WWE Network,289.14,16
2021-04-23,Playstation,Playstation Grid Hero WWE Network,289.14,16
2021-04-23,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,16
2021-04-23,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,16
2021-04-23,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,16
2021-04-23,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,16
2021-04-23,Playstation,Playstation Showcase (Movies & TV Explore),16.56,16
2021-04-23,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,16
2021-04-23,Playstation,Playstation Showcase (Apps_ Explore),36.77,16
2021-04-23,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,16
2021-04-24,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,16
2021-04-24,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,16
2021-04-24,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,16
2021-04-24,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,16
2021-04-24,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,16
2021-04-24,Playstation,Playstation Showcase (Apps_ Explore),36.77,16
2021-04-24,Playstation,Playstation Grid Hero WWE Network,289.14,16
2021-04-24,Playstation,Playstation Showcase (Movies & TV Explore),16.56,16
2021-04-24,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,16
2021-04-25,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,16
2021-04-25,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,16
2021-04-25,Playstation,Playstation Grid Hero WWE Network,289.14,16
