Date,Device,CNT,Owner
2020-12-11,amazon fire tv,875,Amazon
2020-12-12,amazon fire tablet,1,Amazon
2020-12-12,amazon fire tv,1159,Amazon
2020-12-13,amazon fire tablet,1,Amazon
2020-12-13,amazon fire tv,1113,Amazon
2020-12-14,amazon fire tv,693,Amazon
2020-12-15,amazon fire tablet,1,Amazon
2020-12-15,amazon fire tv,631,Amazon
2020-12-16,amazon fire tablet,3,Amazon
2020-12-16,amazon fire tv,604,Amazon
2020-12-17,amazon fire tv,665,Amazon
2020-12-18,amazon fire tablet,3,Amazon
2020-12-18,amazon fire tv,596,Amazon
2020-12-19,amazon fire tablet,5,Amazon
2020-12-19,amazon fire tv,1039,Amazon
2020-12-20,amazon fire tv,868,Amazon
2020-12-21,amazon fire tv,602,Amazon
2020-12-22,amazon fire tablet,1,Amazon
2020-12-22,amazon fire tv,530,Amazon
2020-12-23,amazon fire tablet,2,Amazon
2020-12-23,amazon fire tv,579,Amazon
2020-12-24,amazon fire tablet,1,Amazon
2020-12-24,amazon fire tv,618,Amazon
2020-12-25,amazon fire tv,745,Amazon
2020-12-26,amazon fire tablet,1,Amazon
2020-12-26,amazon fire tv,1008,Amazon
2020-12-27,amazon fire tablet,3,Amazon
2020-12-27,amazon fire tv,1148,Amazon
2020-12-28,amazon fire tablet,3,Amazon
2020-12-28,amazon fire tv,940,Amazon
2020-12-29,amazon fire tv,928,Amazon
2020-12-30,amazon fire tablet,1,Amazon
2020-12-30,amazon fire tv,1009,Amazon
2020-12-31,amazon fire tablet,2,Amazon
2020-12-31,amazon fire tv,1023,Amazon
2021-01-01,amazon fire tablet,2,Amazon
2021-01-01,amazon fire tv,2585,Amazon
2021-01-02,amazon fire tablet,1,Amazon
2021-01-02,amazon fire tv,2107,Amazon
2021-01-03,amazon fire tablet,2,Amazon
2021-01-03,amazon fire tv,1797,Amazon
2021-01-04,amazon fire tv,1307,Amazon
2021-01-05,amazon fire tv,1055,Amazon
2021-01-06,amazon fire tablet,2,Amazon
2021-01-06,amazon fire tv,810,Amazon
2021-01-07,amazon fire tablet,1,Amazon
2021-01-07,amazon fire tv,831,Amazon
2021-01-08,amazon fire tablet,2,Amazon
2021-01-08,amazon fire tv,907,Amazon
2021-01-09,amazon fire tablet,2,Amazon
2021-01-09,amazon fire tv,1140,Amazon
2021-01-10,amazon fire tablet,4,Amazon
2021-01-10,amazon fire tv,1829,Amazon
2021-01-11,amazon fire tv,814,Amazon
2021-01-12,amazon fire tablet,2,Amazon
2021-01-12,amazon fire tv,747,Amazon
2021-01-13,amazon fire tablet,2,Amazon
2021-01-13,amazon fire tv,735,Amazon
2021-01-14,amazon fire tablet,1,Amazon
2021-01-14,amazon fire tv,729,Amazon
2021-01-15,amazon fire tablet,2,Amazon
2021-01-15,amazon fire tv,830,Amazon
2021-01-16,amazon fire tablet,1,Amazon
2021-01-16,amazon fire tv,1587,Amazon
2021-01-17,amazon fire tablet,2,Amazon
2021-01-17,amazon fire tv,1850,Amazon
2021-01-18,amazon fire tablet,1,Amazon
2021-01-18,amazon fire tv,873,Amazon
2021-01-19,amazon fire tablet,2,Amazon
2021-01-19,amazon fire tv,1005,Amazon
2021-01-20,amazon fire tablet,3,Amazon
2021-01-20,amazon fire tv,692,Amazon
2021-01-21,amazon fire tv,591,Amazon
2021-01-22,amazon fire tablet,1,Amazon
2021-01-22,amazon fire tv,668,Amazon
2021-01-23,amazon fire tv,1022,Amazon
2021-01-24,amazon fire tv,800,Amazon
2021-01-25,amazon fire tablet,1,Amazon
2021-01-25,amazon fire tv,787,Amazon
2021-01-26,amazon fire tablet,1,Amazon
2021-01-26,amazon fire tv,708,Amazon
2021-01-27,amazon fire tablet,2,Amazon
2021-01-27,amazon fire tv,671,Amazon
2021-01-28,amazon fire tablet,1,Amazon
2021-01-28,amazon fire tv,668,Amazon
2021-01-29,amazon fire tablet,3,Amazon
2021-01-29,amazon fire tv,664,Amazon
2021-01-30,amazon fire tablet,3,Amazon
2021-01-30,amazon fire tv,1089,Amazon
2021-01-31,amazon fire tablet,1,Amazon
2021-01-31,amazon fire tv,1237,Amazon
