Date,Device,CNT
8/14/2020,lg smart tv,2064
8/14/2020,ps4,2608
8/14/2020,roku,59
8/14/2020,samsung tv,162
8/14/2020,unknown,1528
8/14/2020,vizio,3835
8/14/2020,web,10440
8/14/2020,xbox one,1290
8/14/2020,xfinity,27314
8/15/2020,amazon fire tv,2313
8/15/2020,android mobile,17801
8/15/2020,android tv,2404
8/15/2020,apple tv,4228
8/15/2020,chromecast receiver app,1
8/15/2020,cox,4848
8/15/2020,ios mobile,25028
8/15/2020,lg smart tv,2475
8/15/2020,ps4,2785
8/15/2020,roku,67
8/15/2020,samsung tv,171
8/15/2020,unknown,1636
8/15/2020,vizio,3811
8/15/2020,web,10168
8/15/2020,xbox one,1454
8/15/2020,xfinity,36614
8/16/2020,amazon fire tablet,2
8/16/2020,amazon fire tv,2615
8/16/2020,android mobile,19451
8/16/2020,android tv,2665
8/16/2020,apple tv,4875
8/16/2020,cox,4930
8/16/2020,ios mobile,28525
8/16/2020,lg smart tv,2606
8/16/2020,ps4,2990
8/16/2020,roku,74
8/16/2020,samsung tv,176
8/16/2020,unknown,1770
8/16/2020,vizio,3942
8/16/2020,web,11140
8/16/2020,windows phone,1
8/16/2020,xbox one,2092
8/16/2020,xfinity,37840
8/17/2020,amazon fire tablet,2
8/17/2020,amazon fire tv,1932
8/17/2020,android mobile,16838
8/17/2020,android tv,1837
8/17/2020,apple tv,3040
8/17/2020,chromecast receiver app,2
8/17/2020,cox,3175
8/17/2020,ios mobile,25471
8/17/2020,lg smart tv,1789
8/17/2020,ps4,2176
8/17/2020,roku,70
8/17/2020,samsung tv,114
8/17/2020,unknown,1512
8/17/2020,vizio,2960
8/17/2020,web,10847
8/17/2020,xbox one,1770
8/17/2020,xfinity,27480
8/18/2020,amazon fire tablet,1
8/18/2020,amazon fire tv,1821
8/18/2020,android mobile,15721
8/18/2020,android tv,2102
8/18/2020,apple tv,2653
8/18/2020,cox,2941
8/18/2020,ios mobile,23665
8/18/2020,lg smart tv,1868
8/18/2020,ps4,2175
8/18/2020,roku,65
8/18/2020,samsung tv,128
8/18/2020,unknown,1460
8/18/2020,vizio,2825
8/18/2020,web,10171
8/18/2020,xbox one,1711
8/18/2020,xfinity,24337
8/19/2020,amazon fire tv,1700
8/19/2020,android mobile,15871
8/19/2020,android tv,1921
8/19/2020,apple tv,2500
8/19/2020,cox,2928
8/19/2020,ios mobile,23203
8/19/2020,lg smart tv,1690
8/19/2020,ps4,2086
8/19/2020,roku,81
8/19/2020,samsung tv,123
8/19/2020,unknown,1623
8/19/2020,vizio,2768
8/19/2020,web,10154
8/19/2020,xbox one,1680
8/19/2020,xfinity,25682
8/20/2020,amazon fire tv,1551
8/20/2020,android mobile,15760
8/20/2020,android tv,1683
8/20/2020,apple tv,2489
8/20/2020,cox,2607
8/20/2020,ios mobile,23595
8/20/2020,lg smart tv,1589
8/20/2020,ps4,2145
8/20/2020,roku,69
8/20/2020,samsung tv,139
8/20/2020,unknown,1523
8/20/2020,vizio,2524
8/20/2020,web,9769
8/20/2020,xbox one,1719
8/20/2020,xfinity,23584
8/21/2020,amazon fire tv,1557
8/21/2020,android mobile,14567
8/21/2020,android tv,1652
8/21/2020,apple tv,2894
8/21/2020,cox,3114
8/21/2020,ios mobile,21969
8/21/2020,lg smart tv,2899
8/21/2020,ps4,1941
8/21/2020,roku,68
8/21/2020,samsung tv,139
8/21/2020,unknown,1451
8/21/2020,vizio,3664
8/21/2020,web,9484
8/21/2020,xbox one,1418
8/21/2020,xfinity,23786
8/22/2020,amazon fire tv,2044
8/22/2020,android mobile,16690
8/22/2020,android tv,1711
8/22/2020,apple tv,4029
8/22/2020,cox,3837
8/22/2020,ios mobile,23857
8/22/2020,lg smart tv,2580
8/22/2020,ps4,2261
8/22/2020,roku,73
8/22/2020,samsung tv,154
8/22/2020,unknown,1616
8/22/2020,vizio,4431
8/22/2020,web,9830
8/22/2020,xbox one,1662
8/22/2020,xfinity,31399
8/23/2020,amazon fire tablet,1
8/23/2020,amazon fire tv,2656
